Title,Year,Approach,Measured Property,Variability,Measurement Properties,Result,Correlation?,Validity,Software Systems,Comments,References,
Reviewer Suggested Literature,,,,,,,,,,,,
,,,,,,,,,,,,
Green tracker: a tool for estimating the energy consumption of software,2010,,,,,"no energy.
no correlation analysis",,,,,,
Measuring Application Software Energy Efficiency,2012,"performance-energy measurement stdy of management information systems
variying HW and SWS while maintaining WL
conclusion: SW is important / underrated property in SE","- energy
- performance",HW SW,,the fastest application is also the most energy efficient,pos. corr.,,,,,
GreenOracle: Estimating Software Energy Consumption with Energy Measurement Corpora,2016,,,,,Already in the Literature Analyse,,,,,,
Green AI: do deep learning frameworks have different costs?,2022,,,,,Already in the Literature Analyse,,,,,,
,,,,,,,,,,,,
Initial Set,,,,,,,,,,,,
,,,,,,,,,,,,
Eflect: Porting Energy-Aware Applications to Shared Environments,2022,modeling energy consumption per application in an multi application system,"- energy consumption
- power",SW,,no perf.,,,,,,
Green AI: Do Deep Learning Frameworks Have Different Costs?,2022,Energy consumption analysis of DNNs with different examples,"- energy
- performance","HW components
SW DNNs
WL",,very strong positive correlation (p. 6),pos. corr.,,,,,
EREBA: Black-box Energy Testing of Adaptive Neural Networks,2022,model for identifacation of high energy demanding inputs for AdNNs,Energy,,,no perf.,,,,,,
Taming Energy Consumption Variations in Systems Benchmarking,2020,Impact analysis of controllable variables while measuring energy consumption,"- Energy
- Performance","HW, WL, CFG",,no correlation analysis,,,,,,
"SPEC CPU2017: Performance, Event, and Energy Characterization on the Core i7-8700K",2019,SPEC CPU 2017 Benchmark Suite Execution,"- Energy
- Performance","WL, CFG (2: threads, rate)",,no correlation analysis,,,,,,
Measuring the Energy Efficiency of Transactional Loads on GPGPU,2019,GPU Energy Efficiency of Devices,"- Energy
- Performance (Time?)","HW, WL",,"perf scales linarly with load
energy not (depending on the device)",No correlation,,,,,
Alternating Blind Identification of Power Sources for Mobile SoCs,2022,energy consumption prediction of HW components via thermal sensors and total energy consumption,,,,no perf.,,,,,,
Predicting Server Power Consumption from Standard Rating Results,2019,predicting power consumption of servers using standard power rating tools,,"HW, SW, WL",,no correlation analysis,,,,,,
The Impact of Instant Messaging on the Energy Consumption of Android Devices,2021,"SPEC CPU2017: Performance, Event, and Energy Characterization on the Core i7-8700K",,,,no perf.,,,,,,
Mining API Interactions to Analyze Software Revisions for the Evolution of Energy Consumption,2021,energy evolution of software revisions based on their API interactions,"Energy
API calls",,"Monsoon High Voltage Power Monitor (HVPM)
API calls",API calls are often a good proxy for energy consumption,pos. Corr,,,,,
Mining Energy-Related Practices in Robotics Software,2021,"quantifying and characterizing the main causes, solutions, and eventual trade-offs of roboticists’ issues with respect to their energy efficiency",,,,no measurements,,,,,,
Mining the ROS ecosystem for Green Architectural Tactics in Robotics and an Empirical Evaluation,2021,"energy consumption of 4 different architectural tactics (design decisions; e.g. sampling rate of a sensor)
Independent variables are configuration options of the robter software",,,,"no perf.
-> fixed experiment time, but the path traveled is not recorded",,,,,,
On Energy Debt: Managing Consumption on Evolving Software,2020,Presentation of the concept energy dept,,,,,,,,,0,
ReviewViz: Assisting Developers Perform Empirical Study on Energy Consumption Related Reviews for Mobile Applications,2020,Presentation of Visualisation Tool,,,,,,,,,0,
Greenspecting Android Virtual Keyboards,2020,"1. let framework automatically write predefined text
2. let 40 user write the same text","- Energy SW-based
- Performance Elapsed Time","5 virtual android keyboards
2 modes (normal, minimal features)",Measuring time and energy to write 100 random words,"lees energy consumption of virtual keyboard 
-> more execution time",Neg. Corr,,,,6,x
Should energy consumption influence the choice of Android third-party HTTP libraries?,2020,- measuring energy consumption and performance of third-party libraries that handle HTTP,Energy and Time,8 different third-party librarys,Monsoon power monitor 5 kHz,Performance and Energy of only some apps correlates,"No correlation
pos corr.",,,,12,x
Evaluating the Impact of Caching on the Energy Consumption and Performance of Progressive Web Apps,2020,Execute Browser Caching,"Cache empty or populated
Empty cache implies reading of all data from server
populated cahe implies not all data need to be readed","9 PWAs (progressive web apps)
page load time
energy consumption of phone","energy measured by dumpsys, googles system information tool
performance is start loading page until page is loaded","caching has an effect on performance
but not on energy consumption",No correlation,,,,4,x
Calm Energy Accounting for Multithreaded Java Applications,2020,"software energy measurements at different levels of granularity
sampling based performance and energy profiling
overhead evaluation","Time
Energy","- Software systems
- methods","RAPL
async profiler",energy consumption and execution time do not always correspond,Pos.Corr,,,,27,x
Automated Construction of Energy Test Oracles for Android,2020,"Mobile Phone Domain
Monitoring HW interfaces of apps to predict energy bugs
Use LSTM+Attention to learn before, during and after status of the phone
Learn from known bug-status dataset","Performance: temporal changes of HW status of the app
Energy bug: True / False classification","uDroid energy aware mutation testing framework generates dataset
based on real energy bugs
",Status of all sensors and devices of a phone,Phone status patterns (and changes of these patterns) can hint to ernergy bugs,,,,,7,x
Performance and energy consumption of HPC workloads on a cluster based on Arm ThunderX2 CPU,2020,Performance vs Energy consumption of HPC,,"Different HW (3 HPC)
Compiler Optimization Config as WL","- Power monitoring
- RAPL",energy cionsumption is almost proportional to execution time (for some systems),"Pos.Corr
no corr.",,,,6,x
Correlation of Performance Optimizations and Energy Consumption for Stencil-Based Application on Intel Xeon Scalable Processors,2020,Measure Performance and Energy consumption of different opimization Features of an Intel MultiCore CPU,"Energy consumption SW + HW based
BM Execution Time",Optimization steps of MPDATA application,"Time
Energy RAPL + power meter (100kHz 0.1%)","for some optimization steps performance as well as energy consumtion correlate
for other only one property improves, the oter stays constant",Pos.Corr,,,,15,x
Investigating the Correlation between Performance Scores and Energy Consumption of Mobile Web Apps,2020,"Compare Energy Consumption with performance metric BB
of showing an webpage on the moile browser","- Energy SW-based
- Performance Google performace metrics score (elapsed time to events)",selection of web pages (most visited corpus),"- time until events happen
- energy is modeled with Greenspector",If webpage has better perormance score it significantly consume less energy.,Pos. Corr (they said neg. because axes swap),!,,,7,x
A Taxonomy and Survey of Power Models and Power Modeling for Cloud Servers,2020,,,,,,,,,,27,x
Recommending energy-efficient Java collections,2019,"Analysis of java collections
Replace collections test again energy",Energy,"12 Subject systms
HW: Desktop/Laptop/Handy","Energy measure SW
Performance auf suppl website",,Suppl,And perf?,,,8,x
Search-based energy testing of Android,2019,"Finding Energy defects by:
generating tests for Apps (Android) including external influences:
Lifecycle, Hardware, Environment",Energy,"Lifecycle, Hardware, Environment
25 Apps",,They find more defects if environment is included in test generation,,No perf logged,,,0,
GreenBundle: An Empirical Study on the Energy Impact of Bundled Processing,2019,"Model View Presenter Pattern (from of Model View Controller)
Presnter is an additional Proxy between model and view to decide when to update (now, drop, bundle)","Energy, View update rate","design pattern, #events, #event emitters","ina159, ina219",Lower GUI Update rate -> less energyconsumption,Neg. Corr,,,,36,x
Rotten green tests,2019,checks whether unit tests assert true when they should not,,,,,,,,,0,
"On the performance, availability and energy consumption modelling of clustered IoT systems",2019,"- Energy consumption of sensor networks
- A destinction in their energy consumption is made between seven states of the sensors
- ",,"HW
WL",- Energy values from data sheets,"for all states a sensor network can have, the mean energy consumption of transmissions per time decreases if more packages are transmitted",Pos.Corr,,,,0,
Assessing mobile applications performance and energy consumption through experiments and Stochastic models,2019,- comparing performance and energy consumption of mobild phones working with cloud,"Performance
Energy","different WLs
different configurations
different setups",Modeled Energy,,"3G vs WiFi -> Neg Corr
(Experiment setups -> No Corr)",,,,7,x
Analysis of Performance and Energy Consumption of Wearable Devices and Mobile Gateways in IoT Applications,2019,- is computational offloading (computing on wearable devices instead of phone) more efficient in terms of performance and energy consumption,"Performance
Energy","Different mobile/wearable devices
",,"- not always better performance brings better energy efficiency
- the relation of energy consumption and execution time may not be consistent when applying offloading techniques",sometimes No Correlation,"Not clear how energy is measured
no correlation analysis",LOCUS’s BM,,3,x
Software Development Lifecycle for Energy Efficiency:Techniques and Tools,2019,"Lerterature Study 
Software Development Live Cycle focussing energy efficiency",,-,-,"Conclusion based on one example study [Kambadur und Kim 2014]
possible to gain performance and energy savings by tuning configurations and parameters",,,,,34,x
GreenScaler: training software energy models with automatic test generation,2019,"- Build accurate energy models from measured corpus
- automatic test generation
- test selection heuristic for measuring energy (differs from perf. heuristics)
- Lasso/SVR/Ridge","- energy 
- Performance",,,"- No: methods
- No: classes
- No: line
- No: block
- Weak:testing time",Pos.Corr,,"- Klaxon
- Password Hash
- Storyhoard
- Many more Apps",,26,x
,,,,,,,,,,SUM,225,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2nd Iteration,,,,,,,,,,,,
,,,,,,,,,,,,
Not Relevant,,,,,,,,,,,,
NO Correlation,,,,,,,,,,,,
Positive Correlation (improving performance decreases energy consumption),,,,,,,,,,,,
"Negative Correlation (Improve eighter performance or decrease energy consumption, the other gets worse)",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Energy and Policy Considerations for Modern Deep Learning Research,2020,empirical measurements ofdeep learning approaches,,,,no corr or tradeoff analysis,,,,,,
ECOSystem: managing energy as a first class operating system resource,2002,designeing an energy model for the OS + experiments,,,,no corr or tradeoff analysis,,,,,,
AppScope: Application Energy Metering Framework for Android Smartphones using Kernel Activity Monitoring,2015,kernel module for accurately modeling smartphones energy consumption,,,,no perf.,,,,,,
Eon: a language and runtime system for perpetual systems,2007,energy aware programming language,,,,no perf. no energy.,,,,,,
Power Containers: An OS Facility for Fine-Grained Power and Energy Management on Multicore Servers,2013,online server per-request power control ,,,,no perf.,,,,,,
Energy Management in Mobile Devices with the Cinder Operating System,2011,incooperate energy consumption into mobile phones OS,,,,no corr or tradeoff analysis,,,,,,
Aequitas: Coordinated Energy Management Across Parallel Applications,2016,co-existing applications coordinate power management decisions,,HW: CPU frequency,,energy can be saved with only small performance loss,Neg. Corr,,,,,
eDoctor: Automatically Diagnosing Abnormal Battery Drain Issues on Smartphones,2013,Automatically detect abnormal battery usage in mobile phones,,,,no perf.,,,,,,
Power sandbox: power awareness redefined,2018,mobile phone set of kernel extensions that calc power consumption per application,,,,no corr or tradeoff analysis,,,,,,
Energy-aware adaptation for mobile applications,1999,OS and applincation configuration options influence energy consumption and time,,cfg,,the lnear model fitts well,pos. corr.,,,,,
Vgreen: A system for energy efficient computing in virtualized environments,2009,softwarte system for energy efficient computation,,,,no corr or tradeoff analysis,,,,,,
E2-Train: Training State-of-the-art CNNs with Over 80% Energy Savings,2019,while doing image classification dropping unneccessary computations at different levels to reduce energy consumption while maintainging accuracy,,,,no perf.,,,,,,
Policy Considerations for Deep Learning in NLP,2020,energy cost analysis for NLP,,,,no corr or tradeoff analysis,,,,,,
Analysis of RAPL Energy Prediction Accuracy in a Matrix Multiplication Application on Shared Memory,2017,comparison of energy values gathered by rapl and real measurements,,,,no perf.,,,,,,
An Empirical Study of Practitioners’ Perspectives on Green Software Engineering,2016,"developers perspective on green IT
questionaire and interview",,,,no own measurements,,,,,,
Evaluating the Energy Efficiency of Deep Convolutional Neural Networks on CPUs and GPUs,2016,"energy consumption of different settings of DNNs
trade-off analysis",,cfg,,"low cpu frequency and high cpu frequency have both high total energy consumption
medium cpu frequency has energy consumption 
performance goes linearly with frequency",No correlation,,,,,
Energy-Efficient Machine Learning on the Edges,,"eclipse plugin
method-level energy optiomization of Java ML algorithms",,,,no corr or tradeoff analysis,,,,,,
Rapid and accurate energy models through calibration with IPMI and RAPL,,,,,,,,,,,,
EClass: An Execution Classification Approach to Improving the Energy-Efficiency of Software via Machine Learning,2012,energy prediction model based on ML withtrade-off tuning parameter,,CPU frequency,,tuning parameter tunes linearly between best energy saving or best performing option,Neg. Corr. ,,,,,
Estimation of energy consumption in machine learning,2019,review of energy measurement approaches,-,-,-,no own measurements,,,,,,
Estimating Software Energy Consumption with Machine Learning Approach by Software Performance Feature,2020,perf events help estimating software energy consumption,,,,no perf.,,,,,,
A Validation of DRAM RAPL Power Measurements,2016,validation of RAPL RAM measurements,,,,no perf.,,,,,,
Dynamic Voltage Frequency Scaling Simulator for Real Workflows Energy-Aware Management in Green Cloud Computing,2017,Optimizing energy consumption by DVFS scaling ,,,,no corr or tradeoff analysis,,,,,,
The Model Is Not Enough: Understanding Energy Consumption in Mobile Devices,2012,modeling code level power consumption correlation,,,,no perf.,,,,,,
Pinpoint the Joules: Unifying Runtime-Support for Energy Measurements on Heterogeneous Systems,2020,tool for SW energy consumption using dofferent sources of power/energy values,,,,no perf.,,,,,,
Energy-efficient Amortized Inference with Cascaded Deep Classifiers,2017,classification with multiple classifiers that increase in complexity,,,,no energy measurements,,,,,,
Experimental Characterization of Variation in Power Consumption for Processors of Different generations,2019,analyzing server CPU perwe consumption differernce of the sme CPU,,,,no perf.,,,,,,
Potential Effects on Server Power Metering and Modeling,2018,temperature volatage and rick position effects on power consumption of servers,,,,no perf.,,,,,,
Energy Efficiency of Thermal-Aware Job Scheduling Algorithms under Various Cooling Models,2009,energy savings by thermal-based model scheduler,,,,no corr or tradeoff analysis,,,,,,
An Empirical Survey of Performance and Energy Efficiency Variation on Intel Processors,2017,prcessor frequency correlated with performance,,,,no corr or tradeoff analysis,,,,,,
RAPL in Action: Experiences in Using RAPL for Power Measurements,2018,experiments validating rapls energy measurement accuracy,,,,no corr or tradeoff analysis,,,,,,
Variations in CPU Power Consumption,2016,comparing different cpus in terms of frequency- energy - lead correlation,,"WL, HW",,no perf.,,,,,,
Analyzing and Mitigating the Impact of Manufacturing Variability in Power-Constrained Supercomputing,2015,empirical measurements of HPC scheduling with power constraints,,HW,,improved performance with power constraint,No correlation,,,,,
Predicting the Performance and the Power Consumption of MPI Applications With SimGrid,2017,power and performance simulation framework,,,,no corr or tradeoff analysis,,,,,,
Your Cluster is not Power Homogeneous: Take Care when Designing Green Schedulers!,2013,exploring CPU driven heterogenety of clusters,,,,no perf.,,,,,,
The Next 700 CPU Power Models,2019,power model based on selected performance counters,,,,no perf.,,,,,,
Predicting the Energy Consumption of MPI Applications at Scale Using a Single Node,2017,energy consumption model for HPC nodes,,,,no corr or tradeoff analysis,,,,,,
Runtime-Guided Mitigation of Manufacturing Variability in Power-Constrained Multi-Socket NUMA Nodes,2016,investigating performance energy consumption balance of Mulit CPU systems,,HW,,balance between energy and time -> trade-off if not in balance,"Neg. Correlation, no correlation",,,,,
Measuring Energy and Power with PAPI,2012,PAPI tool presentation,,,,no perf.,,,,,,
"Looking Back on the Language and Hardware Revolutions: Measured Power, Performance, and Scaling",2011,empirical measurements ,"energy, performance","WL, HW",,HW (CPU) specific no correlation when increasing clock speed,No correlation,,,,,
Impact of thread and frequency scaling on performance and energy in modern multicores: a measurement-based study,2014,empirical study investigating energy-performance trade-off,,"thread scaling, frequency scaling",,decreasing CPU freq. increases worsen performance but improves energy consumption,Neg. Corr.,,,,,
Predicting Power Consumption in Virtualized Environments,2016,power consumption of differernt WLs in virtual environments,,,,no perf.,,,,,,
Univariate Interpolation-based Modeling of Power and Performance,2016,power model improvement by interpolating unseen data,,,,no corr or tradeoff analysis,,,,,,
Run-time Prediction of Power Consumption for Component Deployments,2018,power consumption model for job placement and rescheduling on clusters based on power profile and current utilization,,,,no perf.,,,,,,
Dynamic resource allocation and power management in virtualized data centers,2010,data center resource allocation approach,,,,no corr or tradeoff analysis,,,,,,
Exploiting performance counters to predict and improve energy performance of HPC systems,2014,evaluation of suitability of performance counter as input for power models in HPC,,"HW, P, WL, cfg",,"optimizing only CPUs leads to energy savings with small performance loss
optimizing CPU, Disc, Network saves energy while maintaining performance","No. corr, neg. corr",,,,,
Modeling and analyzing power management policies in server farms using Stochastic Petri Nets,2012,novel cost-aware job scheduling algorithm,,,,no corr or tradeoff analysis,,,,,,
Model-Based Energy Efficiency Analysis of Software Architectures,2015,a systems power consumption model combined with a performance prediction approach,,,,no perf.,,,,,,
A Study on the Use of Performance Counters to Estimate Power in Microprocessors,2013,power podel based on minima set of performance counters,,,,"not run time, but: 
performance counter correlate positive, negatice and not at all with power drawn",,,,,,
A Comparison of High-level Full-system Power Models,2008,empirical study of testing power models against each other,,,,no perf.,,,,,,
SoftPower: Fine-grain Power Estimations Using Performance Counters,2010,energy model based on performance hw counters,,,,no perf.,,,,,,
Run-time Energy Consumption Estimation Based on Workload in Server Systems,2008,energy model based on performance hw counters,,,,no perf.,,,,,,
Accurate and Efficient Regression Modeling for Microarchitectural Performance and Power Prediction,2006,"power and performance regression models
microarchitecture HW space prediction",,"BM, C",,no corr or tradeoff analysis,,,,,,
ORION 2.0: A Fast and Accurate NoC Power and Area Model for Early-Stage Design Space Exploration,2009,dynamic power modeling tool,,,,no perf.,,,,,,
"Mistral: Dynamically Managing Power, Performance, and Adaptation Cost in Cloud Infrastructures",2010,power performance managing model for cloud systems,,,,no corr or tradeoff analysis,,,,,,
Runtime Power Monitoring in High-End Processors: Methodology and Empirical Data,2003,combining multiple sources of power information in one model,,,,no perf.,,,,,,
Power Provisioning for a Warehouse-sized Computer,2007,optimize number of servers for a given power budget,,,,no corr or tradeoff analysis,,,,,,
Full-system power analysis and modeling for server environments,2006,energy model based on user level system events,,,,no perf.,,,,,,
A System for Online Power Prediction in Virtualized Environments Using Gaussian Mixture Models,2010,power prediction model for VMs using architectural metrics for prediction,,,,no perf.,,,,,,
Power Prediction for Intel XScale R Processors Using Performance Monitoring Unit Events,2005,performance counter model for predicting energy consumption,,,,no perf.,,,,,,
Performance and Power Modeling in a Multi-programmed Multi-core Environment,2010,perwer model based on performance metrics,,,,no corr or tradeoff analysis,,,,,,
Complete System Power Estimation Using Processor Performance Events,2012,power model of PC components based on performance counters,,,,no corr or tradeoff analysis,,,,,,
A Methodology to Predict the Power Consumption of Servers in Data Centres,2011,energy consumption model at server level,,,,no perf.,,,,,,
Energy Efficiency of Hierarchical Server Load Distribution Strategies,2015,analysis of load distribution on hierarcical servers on energy consumption,,,,no perf.,,,,,,
JouleSort: A Balanced Energy-efficiency Benchmark.,2007,energy efficient sorting algorithm,,,,no corr or tradeoff analysis,,,,,,
Energy benchmarks: a detailed analysis.,2020,empirical analysis of benchmarks,,,,no corr or tradeoff analysis,,,,,,
GPUWattch: enabling energy optimizations in GPGPUs.,2013,measuring energy consumption and performance loss of GPUs of micro benchmarks,,"WL, WL level",,energy savings brings no change in performance or a small performance loss.,"No. corr, neg. corr",,,,,
Improving GPGPU Energy-Efficiency through Concurrent Kernel Execution and DVFS,2015,approach with concurrent kernel execution and dvfs to reduce eenrgy consumption,,,,no perf.,,,,,,
"Energy, Power, and Performance Characterization of GPGPU Benchmark Programs.",2016,analyzing changing frequency or implementation on perwer and performance,,,,no corr or tradeoff analysis,,,,,,
The Case for Energy-Proportional Computing,2007,describing servers energy consumption evolution,,,,no own measurements,,,,,,
GPGPU Performance and Power Estimation Using Machine Learning,2015,GPU power modeling with performance counters,,,,no corr or tradeoff analysis,,,,,,
Analysis of the Influences on Server Power Consumption and Energy Efficiency for CPU-Intensive Workloads,2015,Workload driven energy efficiency analysis,,"WL, WL level, HW",,no perf.,,,,,,
Identifying Shades of Green: The SPECpower Benchmarks.,2009,presentation of the spec energy BM,,,,no own measurements,,,,,,
Performance and Power Analysis of High-Density Multi-GPGPU Architectures: A Preliminary Case Study.,2015,speedup and energy increase of different GPU clusters,,HW,,faster GPUs consume more energy,neg. corr.,,,,,
